Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified,texto_fuente_estricto,label_cervecero_estricto,label_final,label_justificacion
1001583.3,Lactobacillus brevis KB290,,1001583,131567;2;1783272;1239;91061;186826;33958;2767886;1580;1001583,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis;Levilactobacillus brevis KB290,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,KB290,,,,,,,,,,,,,,,,, ,,,Good,2013-03-29T00:00:00Z,23544154,,PRJDA64661,SAMD00060986,GCA_000359625.1,,"AP012167.1,AP012170.1,AP012171.1,AP012169.1,AP012168.1,AP012174.1,AP012173.1,AP012172.1,AP012175.1,AP012176.1","KAGOME CO., LTD., Research Institute",Complete,Sanger; Roche 454; SOLiD,540x,Newbler v. 2.0.01.14 and Phrap v. 1.080730,,9.0,10,2587877,45.5706,1.0,2395134.0,63.0,15.0,,2566,99.3,99.0,,100.0,,traditional Japanese fermented vegetable,traditional Japanese fermented vegetable,,,,Japan,,,,Asia,Japan,,,,,,,,,,,,-,2014-12-08T22:11:52.246Z,2015-03-16T03:17:09.594Z,traditional japanese fermented vegetable | ,False,False,
1334191.3,Lactobacillus brevis BSO 464,,1334191,131567;2;1783272;1239;91061;186826;33958;2767886;1580;1334191,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis;Levilactobacillus brevis BSO 464,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,BSO 464,,,,,,,,,,,,,,,,,,,,Good,2014-12-29T00:00:00Z,25501474,,PRJNA203088,SAMN03273225,GCA_000807975.1,,"CP005977.1,CP005980.1,CP005979.1,CP005982.1,CP005978.1,CP005984.1,CP005983.1,CP005981.1,CP005985.1",University of Saskatchewan,Complete,Roche 454 (GS FLX); ABI 3700x1,30X,Newbler GS De Novo assembler v. 2.5.3,,8.0,9,2723202,45.27,1.0,2503991.0,48.0,18.0,,2666,99.2,98.7,,100.0,,Brewery,,,,,United Kingdom,,,,Europe,United Kingdom: England,,,,,,,,,,,,Complete genome sequence of rapid beer-spoiling organism Lactobacillus brevis BSO 464.,2015-03-12T13:41:55.955Z,2015-03-16T03:17:09.594Z,brewery | ,True,True,positivo: cerveza/cerveceria
1350467.3,Lactobacillus brevis EW,,1350467,131567;2;1783272;1239;91061;186826;33958;2767886;1580;1350467,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis;Levilactobacillus brevis EW,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,EW,,,,,,,,,,,,,,,,, ,,,Good,2013-10-18T00:00:00Z,24265492; 23663779; 18218863,,PRJNA209593,SAMN02470900,GCA_000474675.1,,AUTD00000000,"Seoul National University, South Korea",WGS,Illumina GAIIx; 454,373.32x,CLC Genomics Workbench v. 5.1,,,38,2885101,45.2,4.0,365929.0,67.0,15.0,,2845,99.4,99.1,,100.0,,Drosophila intestine,,,,,South Korea,,,,Asia,South Korea,,"Fruit fly, Drosophila melanogaster",Fruit Fly,,,,Insect,,,,,Pathogenic gut bacterium isolated from Drosophila intestine,2014-12-08T22:11:52.237Z,2015-03-16T03:17:09.594Z,drosophila intestine | ,False,False,
1384064.3,Lactobacillus brevis AG48,,1384064,131567;2;1783272;1239;91061;186826;33958;2767886;1580;1384064,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis;Levilactobacillus brevis AG48,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,AG48,,,,,,,,,,,,,,,,, ,,,Good,2014-01-14T00:00:00Z,,,PRJNA214528,SAMN02584991,GCA_000526755.1,,JAGR00000000,DOE Joint Genome Institute,WGS,Illumina HiSeq 2000,,Unknown program v. before 2013-08-07,,,9,2595994,45.6,1.0,2315038.0,68.0,15.0,,2635,99.1,98.7,,100.0,,sheep rumen,,,,,,,,,,,,"Sheep, Ovis aries",Sheep,,,,Nonhuman Mammal,,,,,The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.,2014-12-08T22:11:52.208Z,2015-03-16T03:17:09.594Z,sheep rumen | ,False,False,
1580.112,Lactobacillus brevis strain EF,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,EF,,,,,,,,,,,,,,,,,,,,Good,2017-01-17T00:00:00Z,27493201,,PRJNA306257,SAMN04346868,GCF_001953605.1,,LPXV00000000,University of Alberta,WGS,Illumina,12.0x,DNAStar Lasergene v. 12.3,,,31,2863780,45.3,4.0,365929.0,68.0,13.0,,2956,99.6,99.2,,100.0,,whole fly,isolated from flies,2015-03-16,2015.0,,Canada,,,,North America,Canada: Edmonton,,"Fruit fly, Drosophila melanogaster",Fruit Fly,,,,Insect,,,,sample_type:liquid monoculture;collected_by:Kristina Petkau,We wanted to compare the genomes of intestinal bacteria we isolated from flies.,2017-03-20T04:56:43.605Z,2017-03-20T04:56:43.605Z,whole fly | ,False,False,
1580.113,Lactobacillus brevis strain G101,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,G101,,,,,,,,,,,,,,,,,,,,Good,2017-03-03T00:00:00Z,,,PRJNA369571,SAMN06240354,GCA_002017995.1,,MULL00000000,Korea University,WGS,PacBio,328.0x,PacBio SMRT Analysis v. v2.3,,,10,2736171,45.3,1.0,2361510.0,63.0,5.0,,2976,99.9,98.7,6.1,100.0,,,,,,,,,,,,,,,,,,,,,,,sample_type:whole organism,Genome sequencing of Lactobacillus brevis,2017-03-20T08:50:10.620Z,2017-03-20T08:50:10.620Z, | ,False,False,
1580.116,Lactobacillus brevis strain CRL 2013,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,WGS,CRL 2013,,,,,,,,,,,,,,,,,,,,Good,2017-04-17T00:00:00Z,,,PRJNA378171,SAMN06480772,GCA_002093065.1,,MZMW00000000,CERELA-CONICET,WGS,Illumina MiSeq,700.0x,A5pipeline v. Jan-2017,,,22,2644941,45.55,2.0,517460.0,65.0,1.0,,2678,99.9,99.6,,100.0,,Amaranth sourdough,,2015-05-28,2015.0,,Argentina,,,,South America,Argentina: Tucuman,,,,,,,,,,,sample_type:whole organism,"Draft Genome Sequence of Lactobacillus brevis CRL 2013, a GABA producer strain",2017-05-28T18:11:52.830Z,2017-05-28T18:11:52.830Z,amaranth sourdough | ,False,False,
1580.117,Lactobacillus brevis strain TMW 1.2112,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,TMW 1.2112,,,,,,,,,,,,,,,,,,,,Good,2017-05-02T00:00:00Z,,,PRJNA313253,SAMN04517633,GCA_002117225.1,,"CP016797,CP016798,CP016799,CP016800,CP016801,CP016802",Technische Universitaet Muenchen,Complete,PacBio,396,Celera Assembler v. 1,,5.0,6,2673552,45.7,1.0,2488939.0,66.0,5.0,,2814,99.8,97.7,6.2,100.0,,wheat beer,,,,,Germany,,,,Europe,Germany,,,,,,,,,,,sample_type:cell culture,Analysis of EPS-producing Lactobacillus brevis strains by comparative genomics - Identification of diagnostic marker genes for the detection of slime producing beer spoiling lactic acid bacteria,2017-05-29T10:49:23.033Z,2017-05-29T10:49:23.033Z,wheat beer | ,True,True,positivo: cerveza/cerveceria
1580.118,Lactobacillus brevis strain TMW 1.2113,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,TMW 1.2113,,,,,,,,,,,,,,,,,,,,Good,2017-05-02T00:00:00Z,,,PRJNA313253,SAMN04517634,GCA_002117325.1,,"CP019750,CP019751,CP019752,CP019753,CP019754",Technische Universitaet Muenchen,Complete,PacBio,364,Celera Assembler v. 1,,4.0,5,2667873,45.74,1.0,2537412.0,70.0,5.0,,2819,99.9,98.7,3.2,100.0,,brewery-associated surface,,,,,Germany,,,,Europe,Germany,,,,,,,,,,,sample_type:cell culture,Analysis of EPS-producing Lactobacillus brevis strains by comparative genomics - Identification of diagnostic marker genes for the detection of slime producing beer spoiling lactic acid bacteria,2017-05-29T10:51:49.940Z,2017-05-29T10:51:49.940Z,brewery-associated surface | ,True,True,positivo: cerveza/cerveceria
1580.119,Lactobacillus brevis strain TMW 1.2108,,1580,131567;2;1783272;1239;91061;186826;33958;2767886;1580,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Levilactobacillus;Levilactobacillus brevis,Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus brevis,Complete,TMW 1.2108,,,,,,,,,,,,,,,,,,,,Good,2017-05-02T00:00:00Z,,,PRJNA313253,SAMN04517635,GCA_002117345.1,,"CP019734,CP019735,CP019736,CP019737,CP019738,CP019739,CP019740,CP019741,CP019742",Technische Universitaet Muenchen,Complete,PacBio,148,Celera Assembler v. 1,,8.0,9,2917978,45.29,1.0,2566011.0,69.0,5.0,,3022,99.9,99.0,6.1,100.0,,wheat beer,,,,,Germany,,,,Europe,Germany,,,,,,,,,,,sample_type:cell culture,Analysis of EPS-producing Lactobacillus brevis strains by comparative genomics - Identification of diagnostic marker genes for the detection of slime producing beer spoiling lactic acid bacteria,2017-05-29T10:48:15.432Z,2017-05-29T10:48:15.432Z,wheat beer | ,True,True,positivo: cerveza/cerveceria
