GCA_000807975.1|L747_04235	GCA_000833405.1|N624_2101	GCA_002017995.1|LG101_04940	GCA_002117225.1|AZI09_07150	GCA_002117325.1|AZI10_07490	GCA_002117345.1|AZI11_05660	GCA_002117375.1|AZI12_05705	GCA_002532155.1|OJNHFJDN_02015	GCA_003184305.1|CCS05_05705	GCA_006228205.1|UCCLBBS124_1016	GCA_006228225.1|SAC12_1027	GCA_006228245.1|UCCLB556_0915	GCA_006228265.1|UCCLB95_0944	GCA_006228285.1|UCCLBBS449_1461	GCA_006228305.1|UCCLB521_0913	GCA_006538845.1|LBR02_04100	GCA_006538905.1|LBR03_06560	GCA_009741845.1|GII22_05300	GCA_015238595.1|GNY08_04930	GCA_020509325.1|IAX23_01750	GCA_020741515.1|K8V89_06970	GCA_021383565.1|KB236_03110	GCA_021384395.1|LL940_08405	GCA_021384405.1|LL937_11265	GCA_021384415.1|LLM24_11545	GCA_021384445.1|LL939_11805	GCA_021384495.1|LL934_11605	GCA_021384505.1|LL942_08215	GCA_021384515.1|LL938_11375	GCA_021384555.1|LL945_08350	GCA_021384565.1|LL941_11280	GCA_021384595.1|LL943_11540	GCA_021384615.1|LL936_07325	GCA_024330045.1|NMO39_01585	GCA_025194305.1|EFR96_09720	GCA_025194385.1|EFS16_10930	GCA_025194405.1|EFS18_01470	GCA_025194465.1|EFS17_11505	GCA_025194515.1|EFS12_04465	GCA_025194545.1|EFS11_10945	GCA_025447255.1|N7L94_05160	GCA_026410225.1|OSJ94_03145	GCA_026622905.1|HJNLGKMP_01941	GCA_026626025.1|ORR04_01230	GCA_030378305.1|QTN53_04925	GCA_039839865.1|ABGN26_01790	GCA_900116945.1|NDEPAJBD_00380	GCA_900116975.1|HKAJCJDL_01745	GCA_900116995.1|IKIEPMFM_00932	GCA_900117015.1|BBJIONDP_01706	GCA_900117025.1|PHHBCBHJ_02442	GCA_900117045.1|KIFFLEHN_00217	GCA_902386565.1|JIJAMNCH_00290	GCA_925279105.1|FBDNDNPJ_00628	GCF_001010995.1|AAX72_RS01410	GCF_001923045.1|ADT67_RS10745	GCA_023744035.1|NE295_08615	GCF_001636145.1|AWV73_RS04645
GCA_000807975.1|L747_08645	GCA_000833405.1|N624_1028	GCA_002017995.1|LG101_02385	GCA_002117225.1|AZI09_09640	GCA_002117325.1|AZI10_09990	GCA_002117345.1|AZI11_02790	GCA_002117375.1|AZI12_02810	GCA_002532155.1|OJNHFJDN_00688	GCA_003184305.1|CCS05_02900	GCA_006228205.1|UCCLBBS124_0559	GCA_006228225.1|SAC12_0497	GCA_006228245.1|UCCLB556_0475	GCA_006228265.1|UCCLB95_1805	GCA_006228285.1|UCCLBBS449_0554	GCA_006228305.1|UCCLB521_0466	GCA_006538845.1|LBR02_19780	GCA_006538905.1|LBR03_18180	GCA_009741845.1|GII22_08040	GCA_015238595.1|GNY08_02350	GCA_020509325.1|IAX23_05610	GCA_020741515.1|K8V89_02020	GCA_021384395.1|LL940_08295	GCA_021384405.1|LL937_05080	GCA_021384415.1|LLM24_04940	GCA_021384445.1|LL939_05345	GCA_021384495.1|LL934_04775	GCA_021384505.1|LL942_08065	GCA_021384515.1|LL938_04945	GCA_021384555.1|LL945_08305	GCA_021384565.1|LL941_04930	GCA_021384595.1|LL943_04505	GCA_021384615.1|LL936_05550	GCA_023744035.1|NE295_06310	GCA_024330045.1|NMO39_06720	GCA_025194305.1|EFR96_11335	GCA_025194385.1|EFS16_08705	GCA_025194405.1|EFS18_07610	GCA_025194465.1|EFS17_08665	GCA_025194515.1|EFS12_11555	GCA_025194545.1|EFS11_10850	GCA_025447255.1|N7L94_02635	GCA_026410225.1|OSJ94_06445	GCA_026622905.1|HJNLGKMP_01256	GCA_026626025.1|ORR04_10880	GCA_030378305.1|QTN53_02475	GCA_039839865.1|ABGN26_12540	GCA_900116945.1|NDEPAJBD_01096	GCA_900116975.1|HKAJCJDL_01531	GCA_900116995.1|IKIEPMFM_00079	GCA_900117015.1|BBJIONDP_01367	GCA_900117025.1|PHHBCBHJ_01030	GCA_900117045.1|KIFFLEHN_01690	GCA_902386565.1|JIJAMNCH_01904	GCA_925279105.1|FBDNDNPJ_01355	GCF_001010995.1|AAX72_RS09190	GCF_001923045.1|ADT67_RS01195	GCA_021383565.1|KB236_00540	GCF_001636145.1|AWV73_RS00615
GCA_000807975.1|L747_07405	GCA_000833405.1|N624_1419	GCA_002017995.1|LG101_08105	GCA_002117225.1|AZI09_03505	GCA_002117325.1|AZI10_03475	GCA_002117345.1|AZI11_09330	GCA_002117375.1|AZI12_09390	GCA_002532155.1|OJNHFJDN_00546	GCA_003184305.1|CCS05_08890	GCA_006228205.1|UCCLBBS124_1777	GCA_006228225.1|SAC12_1741	GCA_006228245.1|UCCLB556_1584	GCA_006228265.1|UCCLB95_0644	GCA_006228285.1|UCCLBBS449_1809	GCA_006228305.1|UCCLB521_1513	GCA_006538845.1|LBR02_05750	GCA_006538905.1|LBR03_16580	GCA_009741845.1|GII22_01975	GCA_015238595.1|GNY08_08710	GCA_020509325.1|IAX23_04130	GCA_020741515.1|K8V89_10135	GCA_021384395.1|LL940_03475	GCA_021384405.1|LL937_02270	GCA_021384415.1|LLM24_02275	GCA_021384445.1|LL939_02930	GCA_021384495.1|LL934_04230	GCA_021384505.1|LL942_03270	GCA_021384515.1|LL938_02360	GCA_021384555.1|LL945_03270	GCA_021384565.1|LL941_02270	GCA_021384595.1|LL943_04105	GCA_021384615.1|LL936_02145	GCA_023744035.1|NE295_00760	GCA_024330045.1|NMO39_05045	GCA_025194305.1|EFR96_03525	GCA_025194385.1|EFS16_02930	GCA_025194405.1|EFS18_03910	GCA_025194465.1|EFS17_01990	GCA_025194515.1|EFS12_11240	GCA_025194545.1|EFS11_06520	GCA_025447255.1|N7L94_08725	GCA_026410225.1|OSJ94_06610	GCA_026622905.1|HJNLGKMP_01339	GCA_026626025.1|ORR04_04730	GCA_030378305.1|QTN53_08515	GCA_039839865.1|ABGN26_00680	GCA_900116975.1|HKAJCJDL_02230	GCA_900116995.1|IKIEPMFM_01494	GCA_900117015.1|BBJIONDP_00802	GCA_900117025.1|PHHBCBHJ_00574	GCA_900117045.1|KIFFLEHN_01963	GCA_902386565.1|JIJAMNCH_00036	GCA_925279105.1|FBDNDNPJ_00039	GCF_001010995.1|AAX72_RS00190	GCF_001923045.1|ADT67_RS08085	GCA_900116945.1|NDEPAJBD_02053	GCA_021383565.1|KB236_06115	GCF_001636145.1|AWV73_RS03685
GCA_000807975.1|L747_07395	GCA_000833405.1|N624_1418	GCA_002017995.1|LG101_08095	GCA_002117225.1|AZI09_03510	GCA_002117325.1|AZI10_03485	GCA_002117345.1|AZI11_09320	GCA_002117375.1|AZI12_09380	GCA_002532155.1|OJNHFJDN_00547	GCA_003184305.1|CCS05_08880	GCA_006228205.1|UCCLBBS124_1776	GCA_006228225.1|SAC12_1740	GCA_006228245.1|UCCLB556_1583	GCA_006228265.1|UCCLB95_0645	GCA_006228285.1|UCCLBBS449_1808	GCA_006228305.1|UCCLB521_1512	GCA_006538845.1|LBR02_05730	GCA_006538905.1|LBR03_16560	GCA_009741845.1|GII22_01985	GCA_015238595.1|GNY08_08700	GCA_020509325.1|IAX23_04140	GCA_020741515.1|K8V89_10125	GCA_021383565.1|KB236_06105	GCA_021384395.1|LL940_03465	GCA_021384405.1|LL937_02260	GCA_021384415.1|LLM24_02265	GCA_021384445.1|LL939_02940	GCA_021384495.1|LL934_04220	GCA_021384505.1|LL942_03260	GCA_021384515.1|LL938_02370	GCA_021384555.1|LL945_03260	GCA_021384565.1|LL941_02260	GCA_021384595.1|LL943_04095	GCA_021384615.1|LL936_02135	GCA_023744035.1|NE295_00750	GCA_024330045.1|NMO39_05055	GCA_025194305.1|EFR96_03535	GCA_025194385.1|EFS16_02940	GCA_025194405.1|EFS18_03920	GCA_025194465.1|EFS17_01980	GCA_025194515.1|EFS12_11230	GCA_025194545.1|EFS11_06510	GCA_025447255.1|N7L94_08715	GCA_026410225.1|OSJ94_06600	GCA_026622905.1|HJNLGKMP_01340	GCA_026626025.1|ORR04_04720	GCA_030378305.1|QTN53_08505	GCA_039839865.1|ABGN26_00690	GCA_900116945.1|NDEPAJBD_02052	GCA_900116975.1|HKAJCJDL_02231	GCA_900116995.1|IKIEPMFM_01495	GCA_900117015.1|BBJIONDP_00803	GCA_900117025.1|PHHBCBHJ_00575	GCA_900117045.1|KIFFLEHN_01964	GCA_902386565.1|JIJAMNCH_00035	GCA_925279105.1|FBDNDNPJ_00038	GCF_001010995.1|AAX72_RS00180	GCF_001923045.1|ADT67_RS08075	GCF_001636145.1|AWV73_RS03680
GCA_000807975.1|L747_07355	GCA_000833405.1|N624_1409	GCA_002017995.1|LG101_08055	GCA_002117225.1|AZI09_03550	GCA_002117325.1|AZI10_03525	GCA_002117345.1|AZI11_09280	GCA_002117375.1|AZI12_09340	GCA_002532155.1|OJNHFJDN_02147	GCA_003184305.1|CCS05_08840	GCA_006228205.1|UCCLBBS124_1768	GCA_006228225.1|SAC12_1732	GCA_006228245.1|UCCLB556_1575	GCA_006228265.1|UCCLB95_0653	GCA_006228285.1|UCCLBBS449_1800	GCA_006228305.1|UCCLB521_1504	GCA_006538845.1|LBR02_05650	GCA_006538905.1|LBR03_16480	GCA_009741845.1|GII22_02025	GCA_015238595.1|GNY08_08660	GCA_020509325.1|IAX23_04180	GCA_020741515.1|K8V89_10085	GCA_021383565.1|KB236_06065	GCA_021384395.1|LL940_03425	GCA_021384405.1|LL937_02220	GCA_021384415.1|LLM24_02225	GCA_021384445.1|LL939_02980	GCA_021384495.1|LL934_04180	GCA_021384505.1|LL942_03220	GCA_021384515.1|LL938_02410	GCA_021384555.1|LL945_03220	GCA_021384565.1|LL941_02220	GCA_021384595.1|LL943_04055	GCA_021384615.1|LL936_02095	GCA_023744035.1|NE295_00710	GCA_024330045.1|NMO39_05095	GCA_025194305.1|EFR96_03575	GCA_025194385.1|EFS16_02980	GCA_025194405.1|EFS18_03960	GCA_025194465.1|EFS17_01940	GCA_025194515.1|EFS12_11190	GCA_025194545.1|EFS11_06470	GCA_025447255.1|N7L94_08675	GCA_026410225.1|OSJ94_06560	GCA_026622905.1|HJNLGKMP_01348	GCA_026626025.1|ORR04_04680	GCA_039839865.1|ABGN26_00730	GCA_900116945.1|NDEPAJBD_02044	GCA_900116975.1|HKAJCJDL_02239	GCA_900116995.1|IKIEPMFM_01503	GCA_900117015.1|BBJIONDP_00811	GCA_900117025.1|PHHBCBHJ_00583	GCA_900117045.1|KIFFLEHN_01972	GCA_902386565.1|JIJAMNCH_00027	GCA_925279105.1|FBDNDNPJ_00030	GCF_001010995.1|AAX72_RS00140	GCF_001923045.1|ADT67_RS08035	GCA_030378305.1|QTN53_08465	GCF_001636145.1|AWV73_RS03640
GCA_009741845.1|GII22_11265	GCF_001923045.1|ADT67_RS11365	GCA_024330045.1|NMO39_09780	GCA_021384505.1|LL942_02060	GCA_006228225.1|SAC12_2251	GCA_902386565.1|JIJAMNCH_00854	GCA_021384445.1|LL939_01555	GCA_021384555.1|LL945_01835	GCA_026626025.1|ORR04_09375	GCA_030378305.1|QTN53_11170	GCA_900117045.1|KIFFLEHN_02279	GCA_025194405.1|EFS18_05265	GCA_000807975.1|L747_12715	GCA_026622905.1|HJNLGKMP_01849	GCA_023744035.1|NE295_03165	GCA_006228265.1|UCCLB95_2194	GCA_021384405.1|LL937_01365	GCA_025194515.1|EFS12_02365	GCA_025194385.1|EFS16_05140	GCA_002117375.1|AZI12_12085	GCA_006228285.1|UCCLBBS449_2334	GCA_000833405.1|N624_0182	GCA_925279105.1|FBDNDNPJ_02277	GCA_020509325.1|IAX23_07220	GCA_025194305.1|EFR96_01075	GCA_900116975.1|HKAJCJDL_00796	GCA_002117345.1|AZI11_12055	GCA_900117015.1|BBJIONDP_02032	GCA_025194545.1|EFS11_08710	GCA_021384495.1|LL934_02630	GCA_025447255.1|N7L94_11395	GCA_003184305.1|CCS05_11470	GCA_039839865.1|ABGN26_02950	GCA_020741515.1|K8V89_06570	GCA_026410225.1|OSJ94_07785	GCA_002017995.1|LG101_10650	GCA_900116945.1|NDEPAJBD_00144	GCA_006228305.1|UCCLB521_2015	GCA_006538905.1|LBR03_12970	GCA_002117325.1|AZI10_00890	GCA_021383565.1|KB236_10260	GCF_001636145.1|AWV73_RS13250	GCA_900116995.1|IKIEPMFM_00898	GCA_021384395.1|LL940_02245	GCA_006228245.1|UCCLB556_2121	GCA_021384565.1|LL941_01365	GCA_015238595.1|GNY08_11225	GCF_001010995.1|AAX72_RS04160	GCA_021384515.1|LL938_01375	GCA_002117225.1|AZI09_00895	GCA_006228205.1|UCCLBBS124_2344	GCA_900117025.1|PHHBCBHJ_02130	GCA_025194465.1|EFS17_04660	GCA_021384595.1|LL943_01400	GCA_021384615.1|LL936_03245	GCA_021384415.1|LLM24_01370	GCA_002532155.1|OJNHFJDN_01251	GCA_006538845.1|LBR02_02590
GCA_000807975.1|L747_05730	GCA_000833405.1|N624_1744	GCA_006228285.1|UCCLBBS449_1147	GCA_900116945.1|NDEPAJBD_01792	GCA_900116975.1|HKAJCJDL_01876	GCA_900116995.1|IKIEPMFM_01956	GCA_900117015.1|BBJIONDP_01015	GCA_900117025.1|PHHBCBHJ_00886	GCA_900117045.1|KIFFLEHN_02141	GCF_001923045.1|ADT67_RS01705	GCA_002017995.1|LG101_06445	GCA_002117225.1|AZI09_05540	GCA_002117325.1|AZI10_05880	GCA_002117345.1|AZI11_07305	GCA_002117375.1|AZI12_07355	GCA_002532155.1|OJNHFJDN_00822	GCA_003184305.1|CCS05_07275	GCA_006228205.1|UCCLBBS124_1350	GCA_006228225.1|SAC12_1327	GCA_006228305.1|UCCLB521_1206	GCA_006538905.1|LBR03_03840	GCA_009741845.1|GII22_02805	GCA_015238595.1|GNY08_06795	GCA_020509325.1|IAX23_11225	GCA_024330045.1|NMO39_00710	GCA_025194305.1|EFR96_04745	GCA_025194385.1|EFS16_09265	GCA_025194405.1|EFS18_11165	GCA_025194465.1|EFS17_04045	GCA_025194515.1|EFS12_08900	GCA_025194545.1|EFS11_00115	GCA_025447255.1|N7L94_07050	GCA_026410225.1|OSJ94_00940	GCA_026622905.1|HJNLGKMP_02602	GCA_026626025.1|ORR04_03080	GCA_030378305.1|QTN53_06865	GCA_039839865.1|ABGN26_03790	GCA_902386565.1|JIJAMNCH_02235	GCA_925279105.1|FBDNDNPJ_01562	GCF_001010995.1|AAX72_RS10805	GCA_023744035.1|NE295_10060	GCA_006228265.1|UCCLB95_1236	GCA_020741515.1|K8V89_09075	GCA_006228245.1|UCCLB556_1282	GCA_006538845.1|LBR02_12120	GCA_021384395.1|LL940_04115	GCA_021384405.1|LL937_03580	GCA_021384415.1|LLM24_03565	GCA_021384445.1|LL939_03820	GCA_021384495.1|LL934_03175	GCA_021384505.1|LL942_03885	GCA_021384515.1|LL938_03570	GCA_021384555.1|LL945_03905	GCA_021384565.1|LL941_03560	GCA_021384595.1|LL943_02840	GCA_021384615.1|LL936_03465	GCA_021383565.1|KB236_04405	GCF_001636145.1|AWV73_RS03085
GCA_000807975.1|L747_02005	GCA_000833405.1|N624_1122	GCA_002017995.1|LG101_02870	GCA_002117225.1|AZI09_09155	GCA_002117325.1|AZI10_09495	GCA_002117345.1|AZI11_03295	GCA_002117375.1|AZI12_03310	GCA_002532155.1|OJNHFJDN_01721	GCA_003184305.1|CCS05_03405	GCA_006228205.1|UCCLBBS124_0653	GCA_006228225.1|SAC12_0586	GCA_006228245.1|UCCLB556_0564	GCA_006228265.1|UCCLB95_1713	GCA_006228285.1|UCCLBBS449_0646	GCA_006228305.1|UCCLB521_0556	GCA_006538845.1|LBR02_07150	GCA_006538905.1|LBR03_18930	GCA_009741845.1|GII22_06575	GCA_015238595.1|GNY08_02835	GCA_020509325.1|IAX23_08215	GCA_020741515.1|K8V89_02655	GCA_021384395.1|LL940_07040	GCA_021384405.1|LL937_06215	GCA_021384415.1|LLM24_06815	GCA_021384445.1|LL939_07250	GCA_021384495.1|LL934_06020	GCA_021384505.1|LL942_06810	GCA_021384515.1|LL938_06510	GCA_021384555.1|LL945_07050	GCA_021384565.1|LL941_06220	GCA_021384595.1|LL943_06520	GCA_021384615.1|LL936_06050	GCA_023744035.1|NE295_06735	GCA_024330045.1|NMO39_10840	GCA_025194305.1|EFR96_03085	GCA_025194385.1|EFS16_11725	GCA_025194405.1|EFS18_06990	GCA_025194465.1|EFS17_08440	GCA_025194515.1|EFS12_07320	GCA_025194545.1|EFS11_11955	GCA_025447255.1|N7L94_03125	GCA_026410225.1|OSJ94_05695	GCA_026622905.1|HJNLGKMP_00911	GCA_026626025.1|ORR04_11340	GCA_030378305.1|QTN53_02990	GCA_039839865.1|ABGN26_02255	GCA_900116945.1|NDEPAJBD_02611	GCA_902386565.1|JIJAMNCH_00917	GCA_925279105.1|FBDNDNPJ_00884	GCF_001010995.1|AAX72_RS04460	GCF_001923045.1|ADT67_RS00685	GCA_900116975.1|HKAJCJDL_00456	GCA_900116995.1|IKIEPMFM_00007	GCA_900117015.1|BBJIONDP_01671	GCA_900117025.1|PHHBCBHJ_00531	GCA_900117045.1|KIFFLEHN_02359	GCA_021383565.1|KB236_01030	GCF_001636145.1|AWV73_RS00850
GCA_000807975.1|L747_02010	GCA_000833405.1|N624_1123	GCA_002017995.1|LG101_02875	GCA_002117225.1|AZI09_09150	GCA_002117325.1|AZI10_09490	GCA_002117345.1|AZI11_03300	GCA_002117375.1|AZI12_03315	GCA_002532155.1|OJNHFJDN_01722	GCA_003184305.1|CCS05_03410	GCA_006228205.1|UCCLBBS124_0654	GCA_006228225.1|SAC12_0587	GCA_006228245.1|UCCLB556_0565	GCA_006228265.1|UCCLB95_1712	GCA_006228285.1|UCCLBBS449_0647	GCA_006228305.1|UCCLB521_0557	GCA_006538845.1|LBR02_07160	GCA_006538905.1|LBR03_18940	GCA_009741845.1|GII22_06580	GCA_015238595.1|GNY08_02840	GCA_020509325.1|IAX23_08210	GCA_020741515.1|K8V89_02650	GCA_021384395.1|LL940_07045	GCA_021384405.1|LL937_06220	GCA_021384415.1|LLM24_06810	GCA_021384445.1|LL939_07245	GCA_021384495.1|LL934_06025	GCA_021384505.1|LL942_06805	GCA_021384515.1|LL938_06505	GCA_021384555.1|LL945_07045	GCA_021384565.1|LL941_06225	GCA_021384595.1|LL943_06525	GCA_021384615.1|LL936_06045	GCA_023744035.1|NE295_06740	GCA_024330045.1|NMO39_10845	GCA_025194305.1|EFR96_03080	GCA_025194385.1|EFS16_11730	GCA_025194405.1|EFS18_06985	GCA_025194465.1|EFS17_08445	GCA_025194515.1|EFS12_07325	GCA_025194545.1|EFS11_11950	GCA_025447255.1|N7L94_03130	GCA_026410225.1|OSJ94_05690	GCA_026622905.1|HJNLGKMP_00910	GCA_026626025.1|ORR04_11345	GCA_030378305.1|QTN53_02995	GCA_039839865.1|ABGN26_02260	GCA_900116945.1|NDEPAJBD_02612	GCA_900116975.1|HKAJCJDL_00457	GCA_900116995.1|IKIEPMFM_00006	GCA_900117015.1|BBJIONDP_01670	GCA_900117025.1|PHHBCBHJ_00530	GCA_900117045.1|KIFFLEHN_02358	GCA_902386565.1|JIJAMNCH_00918	GCA_925279105.1|FBDNDNPJ_00885	GCF_001010995.1|AAX72_RS04465	GCF_001923045.1|ADT67_RS00680	GCA_021383565.1|KB236_01035	GCF_001636145.1|AWV73_RS08340
GCA_000807975.1|L747_02105	GCA_000833405.1|N624_1145	GCA_002117345.1|AZI11_03400	GCA_002117375.1|AZI12_03415	GCA_006228205.1|UCCLBBS124_0668	GCA_006228245.1|UCCLB556_0579	GCA_006228265.1|UCCLB95_1684	GCA_006228285.1|UCCLBBS449_0666	GCA_006228305.1|UCCLB521_0571	GCA_006538845.1|LBR02_07300	GCA_006538905.1|LBR03_08820	GCA_015238595.1|GNY08_02915	GCA_020509325.1|IAX23_08135	GCA_021384395.1|LL940_07120	GCA_021384405.1|LL937_06295	GCA_021384415.1|LLM24_06735	GCA_021384445.1|LL939_07170	GCA_021384495.1|LL934_06100	GCA_021384505.1|LL942_06730	GCA_021384515.1|LL938_06430	GCA_021384555.1|LL945_06970	GCA_021384565.1|LL941_06300	GCA_021384595.1|LL943_06600	GCA_021384615.1|LL936_05970	GCA_023744035.1|NE295_06815	GCA_025194385.1|EFS16_03380	GCA_025194405.1|EFS18_07295	GCA_025194545.1|EFS11_08610	GCA_025447255.1|N7L94_03205	GCA_900116945.1|NDEPAJBD_00693	GCA_900116975.1|HKAJCJDL_02462	GCA_900116995.1|IKIEPMFM_01338	GCA_900117015.1|BBJIONDP_02069	GCA_900117025.1|PHHBCBHJ_01980	GCA_900117045.1|KIFFLEHN_02255	GCA_902386565.1|JIJAMNCH_00933	GCF_001010995.1|AAX72_RS04535	GCF_001923045.1|ADT67_RS00580	GCA_002117225.1|AZI09_09075	GCA_002117325.1|AZI10_09415	GCA_003184305.1|CCS05_03485	GCA_020741515.1|K8V89_02575	GCA_002017995.1|LG101_02950	GCA_002532155.1|OJNHFJDN_01737	GCA_006228225.1|SAC12_0601	GCA_009741845.1|GII22_06655	GCA_024330045.1|NMO39_03225	GCA_025194305.1|EFR96_03005	GCA_025194465.1|EFS17_11010	GCA_025194515.1|EFS12_07400	GCA_026410225.1|OSJ94_04500	GCA_026622905.1|HJNLGKMP_00896	GCA_026626025.1|ORR04_11435	GCA_030378305.1|QTN53_03070	GCA_039839865.1|ABGN26_02335	GCA_925279105.1|FBDNDNPJ_00899	GCA_021383565.1|KB236_01145	GCF_001636145.1|AWV73_RS00925
GCA_000807975.1|L747_05440	GCA_000833405.1|N624_1807	GCA_002017995.1|LG101_06170	GCA_002117225.1|AZI09_05805	GCA_002117325.1|AZI10_06145	GCA_002117345.1|AZI11_07035	GCA_002117375.1|AZI12_07085	GCA_002532155.1|OJNHFJDN_02332	GCA_003184305.1|CCS05_07010	GCA_006228205.1|UCCLBBS124_1297	GCA_006228225.1|SAC12_1270	GCA_006228245.1|UCCLB556_1159	GCA_006228265.1|UCCLB95_1180	GCA_006228285.1|UCCLBBS449_1206	GCA_006228305.1|UCCLB521_1153	GCA_006538845.1|LBR02_08870	GCA_006538905.1|LBR03_04390	GCA_009741845.1|GII22_10025	GCA_015238595.1|GNY08_06165	GCA_020509325.1|IAX23_12035	GCA_020741515.1|K8V89_08435	GCA_021384395.1|LL940_02800	GCA_021384405.1|LL937_01900	GCA_021384415.1|LLM24_02005	GCA_021384445.1|LL939_02560	GCA_021384495.1|LL934_02830	GCA_021384505.1|LL942_02595	GCA_021384515.1|LL938_02010	GCA_021384555.1|LL945_02595	GCA_021384565.1|LL941_02000	GCA_021384595.1|LL943_01590	GCA_021384615.1|LL936_01525	GCA_023744035.1|NE295_09800	GCA_024330045.1|NMO39_00975	GCA_025194305.1|EFR96_01140	GCA_025194385.1|EFS16_09730	GCA_025194405.1|EFS18_10485	GCA_025194465.1|EFS17_10780	GCA_025194515.1|EFS12_11930	GCA_025194545.1|EFS11_11135	GCA_025447255.1|N7L94_06485	GCA_026410225.1|OSJ94_03545	GCA_026622905.1|HJNLGKMP_00600	GCA_026626025.1|ORR04_02455	GCA_030378305.1|QTN53_06165	GCA_039839865.1|ABGN26_05480	GCA_900116945.1|NDEPAJBD_02001	GCA_900116975.1|HKAJCJDL_01306	GCA_900116995.1|IKIEPMFM_01445	GCA_900117015.1|BBJIONDP_00839	GCA_900117025.1|PHHBCBHJ_00796	GCA_900117045.1|KIFFLEHN_00427	GCA_902386565.1|JIJAMNCH_01425	GCA_925279105.1|FBDNDNPJ_02012	GCF_001010995.1|AAX72_RS06905	GCF_001923045.1|ADT67_RS02935	GCA_021383565.1|KB236_04095	GCF_001636145.1|AWV73_RS01360
