Genome ID,Genome Name,Species,Strain,Genome Status,Genome Quality,Isolation Source,Other Environmental,Contigs,Size,CheckM Contamination,CheckM Completeness,label_cervecero_estricto,label_final,label_justificacion,flag_low_completeness,flag_high_contamination,flag_review,name_key,dup_candidate,manual_exclusion,flag_keep_with_caution,missing_score,name_len,decision_final
1580.13,Lactobacillus brevis strain A,Levilactobacillus brevis,A,WGS,Good,Beer,env_biome:Beer,173,2692906,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,a,False,False,False,1,29,keep
1580.134,Lactobacillus brevis strain Q,Levilactobacillus brevis,Q,WGS,Good,Beer,env_biome:Beer,198,2751982,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,q,False,False,False,1,29,keep
1580.52,Lactobacillus brevis TMW 1.313,Levilactobacillus brevis,TMW 1.313,WGS,Good,beer,,11,2735295,7.2,86.8,True,True,positivo: cerveza/cerveceria,True,False,True,tmw 1.313,False,False,True,1,30,keep_with_caution
1580.129,Lactobacillus brevis strain G430,Levilactobacillus brevis,G430,WGS,Good,Beer,env_biome:Beer,250,2591306,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,g430,False,False,False,1,32,keep
1580.131,Lactobacillus brevis strain HF01,Levilactobacillus brevis,HF01,WGS,Good,Beer,env_biome:Beer,192,2716655,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,hf01,False,False,False,1,32,keep
1580.133,Lactobacillus brevis strain JK09,Levilactobacillus brevis,JK09,WGS,Good,Beer,env_biome:Beer,181,2671379,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,jk09,False,False,False,1,32,keep
1580.132,Lactobacillus brevis strain JK09--,Levilactobacillus brevis,JK09--,WGS,Good,Beer,env_biome:Beer,144,2449214,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,jk09--,False,False,False,1,34,keep
1580.31,Lactobacillus brevis strain UCCLB95,Levilactobacillus brevis,UCCLB95,Complete,Good,beer,,3,2528774,1.17,99.05,True,True,positivo: cerveza/cerveceria,False,False,False,ucclb95,False,False,False,1,35,keep
1580.65,Lactobacillus brevis strain BM-LB13908,Levilactobacillus brevis,BM-LB13908,WGS,Good,Beer,,271,2832153,3.2,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,bm-lb13908,False,False,False,1,38,keep
1580.119,Lactobacillus brevis strain TMW 1.2108,Levilactobacillus brevis,TMW 1.2108,Complete,Good,wheat beer,,9,2917978,6.1,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,tmw 1.2108,False,False,False,1,38,keep
1580.12,Lactobacillus brevis strain TMW 1.2111,Levilactobacillus brevis,TMW 1.2111,Complete,Good,wheat beer,,7,2882014,6.2,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,tmw 1.2111,False,False,False,1,38,keep
1580.117,Lactobacillus brevis strain TMW 1.2112,Levilactobacillus brevis,TMW 1.2112,Complete,Good,wheat beer,,6,2673552,6.2,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,tmw 1.2112,False,False,False,1,38,keep
1580.118,Lactobacillus brevis strain TMW 1.2113,Levilactobacillus brevis,TMW 1.2113,Complete,Good,brewery-associated surface,,5,2667873,3.2,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,tmw 1.2113,False,False,False,1,38,keep
1580.307,Lactobacillus brevis strain UCCLBBS124,Levilactobacillus brevis,UCCLBBS124,Complete,Good,Beer Keg,,5,2728238,0.24,99.29,True,True,positivo: cerveza/cerveceria,False,False,False,ucclbbs124,False,False,False,1,38,keep
1334191.3,Lactobacillus brevis BSO 464,Levilactobacillus brevis,BSO 464,Complete,Good,Brewery,,9,2723202,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,bso 464,False,False,False,2,28,keep
1580.9,Lactobacillus brevis strain BSO 310,Levilactobacillus brevis,BSO 310,WGS,Good,brewery,,133,2614138,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,bso 310,False,False,False,2,35,keep
1580.578,Levilactobacillus brevis CIRM-BIA 899,Levilactobacillus brevis,CIRM-BIA 899,WGS,Good,brewery,,135,2500357,,100.0,True,True,positivo: cerveza/cerveceria,False,False,False,cirm-bia 899,True,False,False,2,37,keep
1580.311,Lactobacillus brevis strain UCCLBBS449,Levilactobacillus brevis,UCCLBBS449,Complete,Good,beer,,10,2775071,,99.29,True,True,positivo: cerveza/cerveceria,False,False,False,ucclbbs449,False,False,False,2,38,keep
