Assembly Accession,Genome Name,label_final,categoria_firma,score_bloque1,score_bloque2,score_total_modulos,mod_redox_detox,mod_regulacion,mod_alcohol_oxidoreduccion,prob_positiva_logit,score_prioridad,prioridad_cepa,nota_priorizacion
GCA_000807975.1,Lactobacillus brevis BSO 464,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_000833405.1,Lactobacillus brevis TMW 1.313,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_002117225.1,Lactobacillus brevis strain TMW 1.2112,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_002117325.1,Lactobacillus brevis strain TMW 1.2113,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_002117345.1,Lactobacillus brevis strain TMW 1.2108,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_002117375.1,Lactobacillus brevis strain TMW 1.2111,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_006228205.1,Lactobacillus brevis strain UCCLBBS124,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_006228285.1,Lactobacillus brevis strain UCCLBBS449,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_006228265.1,Lactobacillus brevis strain UCCLB95,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_025447255.1,Levilactobacillus brevis SRCM210362,False,negativo_con_firma_completa,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_interesante_no_etiquetada_como_positiva
GCF_001923045.1,Lactobacillus brevis strain BSO 310,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_900116995.1,Lactobacillus brevis strain HF01,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
GCA_900116975.1,Lactobacillus brevis strain A,True,positivo_nucleo_modular,5,2,7,5,2,3,0.9010107741356687,0.9505053870678344,muy_alta,candidata_fuerte_consistente
