Genome ID,Genome Name,Species,Strain,Genome Status,Genome Quality,Isolation Source,Other Environmental,Contigs,Size,CheckM Contamination,CheckM Completeness,label_cervecero_estricto,label_final,label_justificacion,flag_low_completeness,flag_high_contamination,flag_review,name_key,dup_candidate,manual_exclusion,flag_keep_with_caution,missing_score,name_len,decision_final
1580.278,Lactobacillus brevis strain ZLB004,Levilactobacillus brevis,ZLB004,Complete,Good,feces,env_biome:pig's feces,6,2655087,0.1,100.0,False,False,,False,False,False,zlb004,False,False,False,0,34,keep
1580.1242,Levilactobacillus brevis D17,Levilactobacillus brevis,D17,Complete,Good,fermented grains of Chinese liquor making,,3,2371407,5.7,100.0,False,False,,False,False,False,d17,False,False,False,1,28,keep
1580.473,Levilactobacillus brevis M10,Levilactobacillus brevis,M10,Complete,Good,soil,,4,2675649,0.24,99.29,False,False,,False,False,False,m10,False,False,False,1,28,keep
1580.54,Levilactobacillus brevis 2-34,Levilactobacillus brevis,2-34,WGS,Good,milk,,86,2557496,2.2,100.0,False,False,,False,False,False,2-34,False,False,False,1,29,keep
1580.588,Levilactobacillus brevis LZB2,Levilactobacillus brevis,LZB2,WGS,Good,Brewer's spent grain,,238,2529664,4.5,99.4,False,False,,False,False,False,lzb2,False,False,False,1,29,keep
1580.589,Levilactobacillus brevis F4101,Levilactobacillus brevis,F4101,WGS,Good,vegetable,,135,2545772,0.3,100.0,False,False,,False,False,False,f4101,False,False,False,1,30,keep
1580.58,Lactobacillus brevis strain 47f,Levilactobacillus brevis,47f,WGS,Good,Feces,,138,2621559,6.1,100.0,False,False,,False,False,False,47f,False,False,False,1,31,keep
1580.476,Levilactobacillus brevis 3.8.25,Levilactobacillus brevis,3.8.25,WGS,Good,Cucumber fermentation tank,,173,2503685,0.47,99.29,False,False,,False,False,False,3.8.25,False,False,False,1,31,keep
1580.474,Levilactobacillus brevis 7.2.12,Levilactobacillus brevis,7.2.12,WGS,Good,Cucumber fermentation tank,,199,2559005,0.47,99.29,False,False,,False,False,False,7.2.12,False,False,False,1,31,keep
1580.478,Levilactobacillus brevis 7.2.13,Levilactobacillus brevis,7.2.13,WGS,Good,Cucumber fermentation tank,,213,2542145,0.47,99.29,False,False,,False,False,False,7.2.13,False,False,False,1,31,keep
1580.477,Levilactobacillus brevis 7.2.40,Levilactobacillus brevis,7.2.40,WGS,Good,Cucumber fermentation tank,,178,2557347,0.47,99.29,False,False,,False,False,False,7.2.40,False,False,False,1,31,keep
1580.475,Levilactobacillus brevis 7.2.41,Levilactobacillus brevis,7.2.41,WGS,Good,Cucumber fermentation tank,,168,2452927,0.47,99.29,False,False,,False,False,False,7.2.41,False,False,False,1,31,keep
1580.48,Levilactobacillus brevis 7.2.49,Levilactobacillus brevis,7.2.49,WGS,Good,Cucumber fermentation tank,,159,2497582,0.47,99.29,False,False,,False,False,False,7.2.49,False,False,False,1,31,keep
1580.481,Levilactobacillus brevis 7.8.33,Levilactobacillus brevis,7.8.33,WGS,Good,Cucumber fermentation tank,,161,2493341,0.47,99.29,False,False,,False,False,False,7.8.33,False,False,False,1,31,keep
1580.482,Levilactobacillus brevis 7.8.34,Levilactobacillus brevis,7.8.34,WGS,Good,Cucumber fermentation tank,,177,2470436,0.47,99.29,False,False,,False,False,False,7.8.34,False,False,False,1,31,keep
1580.479,Levilactobacillus brevis 7.8.43,Levilactobacillus brevis,7.8.43,WGS,Good,Cucumber fermentation tank,,174,2473125,0.47,99.29,False,False,,False,False,False,7.8.43,False,False,False,1,31,keep
1580.534,Levilactobacillus brevis IM1470,Levilactobacillus brevis,IM1470,WGS,Good,sturter culture Sacco MBP,,121,2420854,0.3,100.0,False,False,,False,False,False,im1470,False,False,False,1,31,keep
1580.771,Levilactobacillus brevis MKMB04,Levilactobacillus brevis,MKMB04,WGS,Good,Fermented milk,,171,2583913,0.3,100.0,False,False,,False,False,False,mkmb04,False,False,False,1,31,keep
1580.59,Levilactobacillus brevis SMB091,Levilactobacillus brevis,SMB091,Complete,Good,fermented food,,10,2795880,0.6,100.0,False,False,,False,False,False,smb091,False,False,False,1,31,keep
1580.124,Levilactobacillus brevis TCI988,Levilactobacillus brevis,TCI988,Complete,Good,tempeh,,2,2369486,0.3,100.0,False,False,,False,False,False,tci988,False,False,False,1,31,keep
1580.484,Levilactobacillus brevis 30.2.29,Levilactobacillus brevis,30.2.29,WGS,Good,Cucumber fermentation tank,,211,2593201,0.7,99.29,False,False,,False,False,False,30.2.29,False,False,False,1,32,keep
1580.483,Levilactobacillus brevis 30.8.38,Levilactobacillus brevis,30.8.38,WGS,Good,Cucumber fermentation tank,,192,2535605,0.47,99.29,False,False,,False,False,False,30.8.38,False,False,False,1,32,keep
1580.529,Levilactobacillus brevis DRD-195,Levilactobacillus brevis,DRD-195,WGS,Good,artisanal Greek Kefalograviera cheese,,12,2252291,0.3,100.0,False,False,,False,False,False,drd-195,False,False,False,1,32,keep
1580.742,Levilactobacillus brevis LMT1-73,Levilactobacillus brevis,LMT1-73,Complete,Good,oat silage sample,,2,2560148,0.3,100.0,False,False,,False,False,False,lmt1-73,False,False,False,1,32,keep
1580.394,Lactobacillus brevis strain HQ1-1,Levilactobacillus brevis,HQ1-1,Complete,Good,Traditional dairy products,,8,2601702,0.24,99.29,False,False,,False,False,False,hq1-1,False,False,False,1,33,keep
1580.168,Lactobacillus brevis strain SF15B,Levilactobacillus brevis,SF15B,WGS,Good,Brassica oleracea var. capitata cultivar Varazdinski,,119,2463153,6.1,100.0,False,False,,False,False,False,sf15b,False,False,False,1,33,keep
1580.339,Lactobacillus brevis strain LB_AVK,Levilactobacillus brevis,LB_AVK,WGS,Good,dairy product,,37,2381065,2.53,99.29,False,False,,False,False,False,lb_avk,False,False,False,1,34,keep
1580.772,Levilactobacillus brevis PYN10-6-2,Levilactobacillus brevis,PYN10-6-2,Complete,Good,Tenebrio Molitor feces,,5,2745725,0.6,100.0,False,False,,False,False,False,pyn10-6-2,False,False,False,1,34,keep
1580.285,Lactobacillus brevis strain KMB_615,Levilactobacillus brevis,KMB_615,WGS,Good,bryndza cheese,env_biome:farm,122,2441695,,100.0,False,False,,False,False,False,kmb_615,False,False,False,1,35,keep
1580.286,Lactobacillus brevis strain KMB_620,Levilactobacillus brevis,KMB_620,WGS,Good,bryndza cheese,env_biome:farm,92,2356510,,100.0,False,False,,False,False,False,kmb_620,False,False,False,1,35,keep
1580.564,Levilactobacillus brevis SRCM210362,Levilactobacillus brevis,SRCM210362,Complete,Good,kimchi,,5,2628394,0.3,100.0,False,False,,False,False,False,srcm210362,False,False,False,1,35,keep
1580.649,Levilactobacillus brevis SRCM217016,Levilactobacillus brevis,SRCM217016,WGS,Good,kimchi,,16,2750958,0.3,100.0,False,False,,False,False,False,srcm217016,False,False,False,1,35,keep
1580.46,Levilactobacillus brevis strain 12991,Levilactobacillus brevis,12991,WGS,Good,feces,,42,2318552,0.47,98.58,False,False,,False,False,False,12991,False,False,False,1,37,keep
1580.452,Levilactobacillus brevis strain LBX14,Levilactobacillus brevis,LBX14,WGS,Good,Human adult fecal sample,,31,2432315,3.42,99.05,False,False,,False,False,False,lbx14,False,False,False,1,37,keep
1580.66,Lactobacillus brevis strain NPS-QW-145,Levilactobacillus brevis,NPS-QW-145,Complete,Good,Traditional Korean kimchi,env_biome:Traditional Korean kimchi,1,2552671,,100.0,False,False,,False,False,False,nps-qw-145,False,False,False,1,38,keep
1580.57,Levilactobacillus brevis CIRM-BIA 2225,Levilactobacillus brevis,CIRM-BIA 2225,WGS,Good,starter bakery,,72,2370222,0.3,100.0,False,False,,False,False,False,cirm-bia 2225,True,False,False,1,38,keep
1580.579,Levilactobacillus brevis CIRM-BIA 2226,Levilactobacillus brevis,CIRM-BIA 2226,WGS,Good,starter bakery,,181,2524587,2.8,100.0,False,False,,False,False,False,cirm-bia 2226,True,False,False,1,38,keep
1580.575,Levilactobacillus brevis CIRM-BIA 2227,Levilactobacillus brevis,CIRM-BIA 2227,WGS,Good,fermented pickles,,256,2536016,3.9,100.0,False,False,,False,False,False,cirm-bia 2227,True,False,False,1,38,keep
1580.574,Levilactobacillus brevis CIRM-BIA 2230,Levilactobacillus brevis,CIRM-BIA 2230,WGS,Good,artisanal sauerkraut,,332,2696677,3.1,100.0,False,False,,False,False,False,cirm-bia 2230,True,False,False,1,38,keep
1580.573,Levilactobacillus brevis CIRM-BIA 2231,Levilactobacillus brevis,CIRM-BIA 2231,WGS,Good,artisanal sauerkraut,,277,2735779,0.6,100.0,False,False,,False,False,False,cirm-bia 2231,True,False,False,1,38,keep
1580.321,Lactobacillus brevis strain MGYG-HGUT-02380,Levilactobacillus brevis,MGYG-HGUT-02380,WGS,Good,human gut,,138,2621559,1.4,99.29,False,False,,False,False,False,mgyg-hgut-02380,False,False,False,1,43,keep
1350467.3,Lactobacillus brevis EW,Levilactobacillus brevis,EW,WGS,Good,Drosophila intestine,,38,2885101,,100.0,False,False,,False,False,False,ew,False,False,False,2,23,keep
1384064.3,Lactobacillus brevis AG48,Levilactobacillus brevis,AG48,WGS,Good,sheep rumen,,9,2595994,,100.0,False,False,,False,False,False,ag48,False,False,False,2,25,keep
1001583.3,Lactobacillus brevis KB290,Levilactobacillus brevis,KB290,Complete,Good,traditional Japanese fermented vegetable,,10,2587877,,100.0,False,False,,False,False,False,kb290,False,False,False,2,26,keep
1580.1244,Levilactobacillus brevis H8,Levilactobacillus brevis,H8,Complete,Good,Korean beef,,1,2350541,,100.0,False,False,,False,False,False,h8,False,False,False,2,27,keep
1580.51,Lactobacillus brevis TMW 1.6,Levilactobacillus brevis,TMW 1.6,WGS,Good,feces,,46,2520318,,100.0,False,False,,False,False,False,tmw 1.6,False,False,False,2,28,keep
